ds,yhat,yhat_lower,yhat_upper,category,keyword
2024-02-25,60.37,56.52,63.97,electronics,wireless headphones
2024-03-03,59.77,56.21,63.6,electronics,wireless headphones
2024-03-10,60.9,57.19,64.55,electronics,wireless headphones
2024-03-17,61.32,57.74,65.28,electronics,wireless headphones
2024-03-24,65.21,61.59,68.76,electronics,wireless headphones
2024-03-31,63.66,60.14,67.1,electronics,wireless headphones
2024-04-07,61.45,57.8,65.08,electronics,wireless headphones
2024-04-14,65.47,61.82,69.25,electronics,wireless headphones
2024-04-21,66.97,63.39,70.63,electronics,wireless headphones
2024-04-28,66.7,63.12,70.63,electronics,wireless headphones
2024-05-05,63.33,59.66,66.8,electronics,wireless headphones
2024-05-12,58.56,55.22,62.29,electronics,wireless headphones
2024-05-19,57.81,54.07,61.61,electronics,wireless headphones
2024-05-26,54.13,50.28,57.87,electronics,wireless headphones
2024-06-02,50.46,46.82,54.21,electronics,wireless headphones
2024-06-09,49.9,46.42,53.37,electronics,wireless headphones
2024-06-16,48.56,44.76,52.38,electronics,wireless headphones
2024-06-23,48.38,44.74,52.03,electronics,wireless headphones
2024-06-30,46.06,42.53,49.9,electronics,wireless headphones
2024-07-07,42.71,39.15,46.37,electronics,wireless headphones
2024-07-14,40.89,37.05,44.38,electronics,wireless headphones
2024-07-21,38.31,34.72,41.89,electronics,wireless headphones
2024-07-28,36.91,33.22,40.39,electronics,wireless headphones
2024-08-04,34.52,30.96,38.19,electronics,wireless headphones
2024-08-11,34.77,31.18,38.34,electronics,wireless headphones
2024-08-18,37.34,33.66,40.99,electronics,wireless headphones
2024-08-25,33.5,29.75,37.12,electronics,wireless headphones
2024-09-01,31.17,27.51,34.72,electronics,wireless headphones
2024-09-08,30.49,26.68,34.16,electronics,wireless headphones
2024-09-15,27.37,23.33,31.25,electronics,wireless headphones
2024-09-22,28.79,25.02,32.34,electronics,wireless headphones
2024-09-29,28.15,24.67,32.03,electronics,wireless headphones
2024-10-06,26.64,23.14,30.18,electronics,wireless headphones
2024-10-13,29.74,26.07,33.52,electronics,wireless headphones
2024-10-20,30.26,26.32,33.95,electronics,wireless headphones
2024-10-27,31.98,28.15,35.61,electronics,wireless headphones
2024-11-03,34.69,31.06,38.56,electronics,wireless headphones
2024-11-10,35.84,32.22,39.37,electronics,wireless headphones
2024-11-17,39.2,35.46,42.63,electronics,wireless headphones
2024-11-24,39.58,35.79,43.48,electronics,wireless headphones
2024-12-01,40.07,36.19,43.46,electronics,wireless headphones
2024-12-08,43.04,39.55,46.79,electronics,wireless headphones
2024-12-15,43.33,39.68,47.02,electronics,wireless headphones
2024-12-22,44.84,41.07,48.45,electronics,wireless headphones
2024-12-29,47.11,43.46,50.8,electronics,wireless headphones
2025-01-05,49.82,46.08,53.63,electronics,wireless headphones
2025-01-12,53.35,49.54,57.25,electronics,wireless headphones
2025-01-19,55.15,51.48,58.83,electronics,wireless headphones
2025-01-26,58.76,55.15,62.33,electronics,wireless headphones
2025-02-02,61.44,58.04,65.08,electronics,wireless headphones
2025-02-09,63.57,59.66,67.11,electronics,wireless headphones
2025-02-16,66.21,62.61,69.87,electronics,wireless headphones
2025-02-23,63.81,60.22,67.38,electronics,wireless headphones
2025-03-02,65.43,61.67,69.01,electronics,wireless headphones
2025-03-09,69.71,66.09,73.44,electronics,wireless headphones
2025-03-16,68.13,64.36,71.74,electronics,wireless headphones
2025-03-23,68.68,65.02,72.19,electronics,wireless headphones
2025-03-30,68.69,65.15,72.31,electronics,wireless headphones
2025-04-06,68.28,64.54,71.52,electronics,wireless headphones
2025-04-13,71.77,68.06,75.4,electronics,wireless headphones
2025-04-20,71.38,67.61,74.98,electronics,wireless headphones
2025-04-27,71.08,67.49,74.96,electronics,wireless headphones
2025-05-04,71.17,67.61,74.92,electronics,wireless headphones
2025-05-11,66.77,63.14,70.45,electronics,wireless headphones
2025-05-18,62.66,59.11,66.28,electronics,wireless headphones
2025-05-25,57.91,54.29,61.54,electronics,wireless headphones
2025-06-01,56.55,52.98,60.51,electronics,wireless headphones
2025-06-08,58.82,55.31,62.28,electronics,wireless headphones
2025-06-15,56.06,52.35,59.77,electronics,wireless headphones
2025-06-22,52.54,48.68,56.29,electronics,wireless headphones
2025-06-29,50.9,47.21,54.48,electronics,wireless headphones
2025-07-06,50.08,46.36,53.71,electronics,wireless headphones
2025-07-13,48.37,44.66,51.97,electronics,wireless headphones
2025-07-20,43.21,39.68,47.02,electronics,wireless headphones
2025-07-27,41.33,37.74,44.99,electronics,wireless headphones
2025-08-03,41.78,38.37,45.41,electronics,wireless headphones
2025-08-10,42.01,38.38,45.7,electronics,wireless headphones
2025-08-17,42.11,38.18,46.14,electronics,wireless headphones
2025-08-24,37.24,33.57,40.87,electronics,wireless headphones
2025-08-31,36.78,33.15,40.57,electronics,wireless headphones
2025-09-07,39.66,35.92,43.58,electronics,wireless headphones
2025-09-14,35.1,31.68,38.67,electronics,wireless headphones
2025-09-21,32.57,29.09,36.22,electronics,wireless headphones
2025-09-28,32.74,28.82,36.4,electronics,wireless headphones
2025-10-05,33.32,29.64,36.83,electronics,wireless headphones
2025-10-12,36.39,32.83,39.86,electronics,wireless headphones
2025-10-19,34.88,31.22,38.56,electronics,wireless headphones
2025-10-26,35.52,31.83,39.37,electronics,wireless headphones
2025-11-02,41.11,37.48,44.59,electronics,wireless headphones
2025-11-09,43.23,39.63,46.87,electronics,wireless headphones
2025-11-16,43.61,40.16,47.14,electronics,wireless headphones
2025-11-23,42.55,38.79,46.31,electronics,wireless headphones
2025-11-30,45.1,41.52,48.65,electronics,wireless headphones
2025-12-07,51.34,47.88,54.87,electronics,wireless headphones
2025-12-14,50.86,47.16,54.53,electronics,wireless headphones
2025-12-21,48.66,45.01,52.04,electronics,wireless headphones
2025-12-28,50.77,47.28,54.57,electronics,wireless headphones
2026-01-04,55.92,52.17,59.63,electronics,wireless headphones
2026-01-11,60.08,56.34,63.89,electronics,wireless headphones
2026-01-18,59.42,56.05,63.01,electronics,wireless headphones
2026-01-25,62.07,58.38,65.66,electronics,wireless headphones
2026-02-01,67.75,64.41,71.4,electronics,wireless headphones
2026-02-08,70.77,67.36,74.39,electronics,wireless headphones
2026-02-15,71.17,68.0,74.79,electronics,wireless headphones
2026-02-16,70.76,67.14,74.38,electronics,wireless headphones
2026-02-17,70.24,66.55,74.1,electronics,wireless headphones
2026-02-18,69.62,65.89,73.17,electronics,wireless headphones
2026-02-19,68.94,65.34,72.82,electronics,wireless headphones
2026-02-20,68.25,64.75,71.68,electronics,wireless headphones
2026-02-21,67.62,64.07,71.18,electronics,wireless headphones
2026-02-22,67.09,63.37,70.78,electronics,wireless headphones
2026-02-23,66.74,62.9,70.48,electronics,wireless headphones
2026-02-24,66.6,62.81,70.24,electronics,wireless headphones
2026-02-25,66.72,63.1,70.54,electronics,wireless headphones
2026-02-26,67.11,63.65,70.51,electronics,wireless headphones
2026-02-27,67.78,64.42,71.23,electronics,wireless headphones
2026-02-28,68.7,65.06,72.3,electronics,wireless headphones
2026-03-01,69.84,66.09,73.55,electronics,wireless headphones
2026-03-02,71.13,67.52,74.49,electronics,wireless headphones
2026-03-03,72.51,68.84,76.12,electronics,wireless headphones
2026-03-04,73.89,69.8,77.25,electronics,wireless headphones
2026-03-05,75.2,71.52,78.76,electronics,wireless headphones
2026-03-06,76.36,72.7,79.89,electronics,wireless headphones
2026-03-07,77.32,73.57,81.11,electronics,wireless headphones
2026-03-08,78.02,74.61,81.66,electronics,wireless headphones
2026-03-09,78.44,74.76,81.98,electronics,wireless headphones
2026-03-10,78.58,74.69,82.33,electronics,wireless headphones
2026-03-11,78.45,74.94,82.04,electronics,wireless headphones
2026-03-12,78.09,74.21,81.92,electronics,wireless headphones
2026-03-13,77.53,73.87,81.05,electronics,wireless headphones
2026-03-14,76.86,72.77,80.59,electronics,wireless headphones
2026-03-15,76.11,72.34,79.75,electronics,wireless headphones
2026-03-16,75.36,71.77,79.08,electronics,wireless headphones
2026-03-17,74.65,70.88,78.05,electronics,wireless headphones
