ds,yhat,yhat_lower,yhat_upper,category,keyword
2025-02-16,39.24,35.92,42.3,fashion,leather wallet
2025-02-23,37.78,34.3,41.11,fashion,leather wallet
2025-03-02,39.11,35.88,42.44,fashion,leather wallet
2025-03-09,39.7,36.3,42.75,fashion,leather wallet
2025-03-16,38.31,34.84,41.74,fashion,leather wallet
2025-03-23,35.85,32.5,39.19,fashion,leather wallet
2025-03-30,37.13,33.79,40.26,fashion,leather wallet
2025-04-06,36.35,33.06,39.73,fashion,leather wallet
2025-04-13,38.57,35.13,41.75,fashion,leather wallet
2025-04-20,40.73,37.43,44.04,fashion,leather wallet
2025-04-27,38.72,35.48,42.07,fashion,leather wallet
2025-05-04,42.39,39.13,45.79,fashion,leather wallet
2025-05-11,42.23,38.84,45.47,fashion,leather wallet
2025-05-18,39.33,36.3,42.44,fashion,leather wallet
2025-05-25,43.28,40.06,46.83,fashion,leather wallet
2025-06-01,45.3,42.14,48.48,fashion,leather wallet
2025-06-08,46.82,43.33,50.06,fashion,leather wallet
2025-06-15,45.97,42.58,49.29,fashion,leather wallet
2025-06-22,41.39,38.23,44.99,fashion,leather wallet
2025-06-29,40.38,37.16,43.59,fashion,leather wallet
2025-07-06,40.89,37.69,44.12,fashion,leather wallet
2025-07-13,47.53,44.39,50.62,fashion,leather wallet
2025-07-20,53.62,50.32,56.85,fashion,leather wallet
2025-07-27,51.21,47.78,54.67,fashion,leather wallet
2025-08-03,51.54,48.37,54.79,fashion,leather wallet
2025-08-10,48.75,45.47,52.15,fashion,leather wallet
2025-08-17,43.48,40.0,47.11,fashion,leather wallet
2025-08-24,43.92,41.06,47.17,fashion,leather wallet
2025-08-31,41.31,38.11,44.57,fashion,leather wallet
2025-09-07,39.94,36.68,43.26,fashion,leather wallet
2025-09-14,41.4,38.2,44.7,fashion,leather wallet
2025-09-21,42.04,38.69,45.36,fashion,leather wallet
2025-09-28,43.82,40.3,46.99,fashion,leather wallet
2025-10-05,41.53,38.48,44.82,fashion,leather wallet
2025-10-12,42.25,38.86,45.48,fashion,leather wallet
2025-10-19,45.66,42.51,49.15,fashion,leather wallet
2025-10-26,46.26,42.76,49.4,fashion,leather wallet
2025-11-02,54.56,51.21,57.79,fashion,leather wallet
2025-11-09,63.83,60.73,67.09,fashion,leather wallet
2025-11-16,73.47,70.38,76.77,fashion,leather wallet
2025-11-23,90.38,87.12,93.62,fashion,leather wallet
2025-11-30,100.0,97.0,100.0,fashion,leather wallet
2025-12-07,100.0,97.29,100.0,fashion,leather wallet
2025-12-14,92.9,89.51,96.29,fashion,leather wallet
2025-12-21,79.19,75.89,82.43,fashion,leather wallet
2025-12-28,68.66,65.57,72.01,fashion,leather wallet
2026-01-04,57.13,53.99,60.46,fashion,leather wallet
2026-01-11,48.36,45.06,51.9,fashion,leather wallet
2026-01-18,44.22,40.99,47.38,fashion,leather wallet
2026-01-25,46.2,42.98,49.48,fashion,leather wallet
2026-02-01,67.82,64.63,71.01,fashion,leather wallet
2026-02-08,89.95,86.52,93.25,fashion,leather wallet
2026-02-15,87.51,84.38,90.76,fashion,leather wallet
2026-02-16,84.91,81.93,88.39,fashion,leather wallet
2026-02-17,81.74,78.53,84.94,fashion,leather wallet
2026-02-18,77.98,74.47,81.05,fashion,leather wallet
2026-02-19,73.62,70.37,76.87,fashion,leather wallet
2026-02-20,68.66,65.44,71.95,fashion,leather wallet
2026-02-21,63.09,59.69,66.34,fashion,leather wallet
2026-02-22,56.94,53.78,60.21,fashion,leather wallet
2026-02-23,50.26,46.82,53.57,fashion,leather wallet
2026-02-24,43.12,39.83,46.27,fashion,leather wallet
2026-02-25,35.6,32.45,38.9,fashion,leather wallet
2026-02-26,27.83,24.58,31.22,fashion,leather wallet
2026-02-27,19.93,16.35,22.99,fashion,leather wallet
2026-02-28,12.06,8.57,15.43,fashion,leather wallet
2026-03-01,4.37,1.05,7.48,fashion,leather wallet
2026-03-02,0.0,0.0,0.3,fashion,leather wallet
2026-03-03,0.0,0.0,0.0,fashion,leather wallet
2026-03-04,0.0,0.0,0.0,fashion,leather wallet
2026-03-05,0.0,0.0,0.0,fashion,leather wallet
2026-03-06,0.0,0.0,0.0,fashion,leather wallet
2026-03-07,0.0,0.0,0.0,fashion,leather wallet
2026-03-08,0.0,0.0,0.0,fashion,leather wallet
2026-03-09,0.0,0.0,0.0,fashion,leather wallet
2026-03-10,0.0,0.0,0.0,fashion,leather wallet
2026-03-11,0.0,0.0,0.0,fashion,leather wallet
2026-03-12,0.0,0.0,0.0,fashion,leather wallet
2026-03-13,0.0,0.0,0.0,fashion,leather wallet
2026-03-14,0.0,0.0,0.0,fashion,leather wallet
2026-03-15,0.0,0.0,0.0,fashion,leather wallet
2026-03-16,0.0,0.0,0.0,fashion,leather wallet
2026-03-17,0.0,0.0,0.0,fashion,leather wallet
