ds,yhat,yhat_lower,yhat_upper,category,keyword
2024-02-25,59.07,54.46,63.79,home_goods,bamboo cutting board
2024-03-03,66.23,61.4,71.51,home_goods,bamboo cutting board
2024-03-10,63.94,59.27,68.74,home_goods,bamboo cutting board
2024-03-17,61.66,57.03,66.65,home_goods,bamboo cutting board
2024-03-24,65.07,60.07,69.68,home_goods,bamboo cutting board
2024-03-31,63.78,59.18,68.73,home_goods,bamboo cutting board
2024-04-07,63.59,59.25,68.52,home_goods,bamboo cutting board
2024-04-14,61.23,56.25,66.14,home_goods,bamboo cutting board
2024-04-21,57.64,52.5,62.26,home_goods,bamboo cutting board
2024-04-28,58.17,53.16,63.38,home_goods,bamboo cutting board
2024-05-05,59.4,54.69,63.88,home_goods,bamboo cutting board
2024-05-12,58.73,53.92,63.7,home_goods,bamboo cutting board
2024-05-19,53.55,48.75,59.01,home_goods,bamboo cutting board
2024-05-26,53.49,48.73,58.21,home_goods,bamboo cutting board
2024-06-02,55.34,50.15,60.34,home_goods,bamboo cutting board
2024-06-09,51.96,47.23,56.96,home_goods,bamboo cutting board
2024-06-16,53.6,48.87,58.49,home_goods,bamboo cutting board
2024-06-23,49.24,44.67,53.62,home_goods,bamboo cutting board
2024-06-30,42.59,37.68,47.73,home_goods,bamboo cutting board
2024-07-07,44.41,39.54,49.68,home_goods,bamboo cutting board
2024-07-14,37.56,32.69,42.33,home_goods,bamboo cutting board
2024-07-21,34.6,29.47,39.56,home_goods,bamboo cutting board
2024-07-28,38.13,33.23,42.68,home_goods,bamboo cutting board
2024-08-04,33.54,28.56,38.41,home_goods,bamboo cutting board
2024-08-11,35.91,31.33,40.81,home_goods,bamboo cutting board
2024-08-18,36.41,31.47,41.2,home_goods,bamboo cutting board
2024-08-25,31.26,26.61,36.01,home_goods,bamboo cutting board
2024-09-01,33.19,28.37,37.59,home_goods,bamboo cutting board
2024-09-08,28.78,24.09,33.58,home_goods,bamboo cutting board
2024-09-15,25.5,20.7,30.18,home_goods,bamboo cutting board
2024-09-22,29.97,25.3,34.98,home_goods,bamboo cutting board
2024-09-29,30.22,25.62,35.19,home_goods,bamboo cutting board
2024-10-06,31.05,26.1,35.83,home_goods,bamboo cutting board
2024-10-13,30.77,25.78,35.84,home_goods,bamboo cutting board
2024-10-20,29.78,24.93,34.66,home_goods,bamboo cutting board
2024-10-27,33.15,28.34,38.14,home_goods,bamboo cutting board
2024-11-03,37.18,32.28,42.29,home_goods,bamboo cutting board
2024-11-10,39.41,34.2,44.33,home_goods,bamboo cutting board
2024-11-17,36.89,32.15,42.16,home_goods,bamboo cutting board
2024-11-24,39.25,34.3,43.78,home_goods,bamboo cutting board
2024-12-01,44.89,39.86,49.6,home_goods,bamboo cutting board
2024-12-08,44.79,39.67,49.53,home_goods,bamboo cutting board
2024-12-15,49.67,44.93,54.44,home_goods,bamboo cutting board
2024-12-22,50.33,45.73,55.34,home_goods,bamboo cutting board
2024-12-29,48.39,43.22,53.48,home_goods,bamboo cutting board
2025-01-05,56.71,51.84,61.55,home_goods,bamboo cutting board
2025-01-12,56.93,52.44,61.74,home_goods,bamboo cutting board
2025-01-19,57.19,52.6,61.9,home_goods,bamboo cutting board
2025-01-26,62.45,57.34,67.27,home_goods,bamboo cutting board
2025-02-02,57.86,53.04,62.92,home_goods,bamboo cutting board
2025-02-09,60.25,55.51,65.16,home_goods,bamboo cutting board
2025-02-16,65.06,60.43,69.8,home_goods,bamboo cutting board
2025-02-23,65.11,60.85,70.02,home_goods,bamboo cutting board
2025-03-02,71.88,66.88,76.63,home_goods,bamboo cutting board
2025-03-09,71.17,66.21,76.04,home_goods,bamboo cutting board
2025-03-16,67.78,63.12,72.86,home_goods,bamboo cutting board
2025-03-23,71.26,66.57,75.93,home_goods,bamboo cutting board
2025-03-30,70.64,65.72,75.61,home_goods,bamboo cutting board
2025-04-06,69.92,65.01,74.81,home_goods,bamboo cutting board
2025-04-13,68.04,63.43,73.09,home_goods,bamboo cutting board
2025-04-20,64.37,59.61,69.46,home_goods,bamboo cutting board
2025-04-27,64.35,59.45,69.11,home_goods,bamboo cutting board
2025-05-04,65.32,60.63,70.35,home_goods,bamboo cutting board
2025-05-11,65.38,60.5,70.3,home_goods,bamboo cutting board
2025-05-18,60.57,55.69,65.66,home_goods,bamboo cutting board
2025-05-25,59.3,54.61,64.05,home_goods,bamboo cutting board
2025-06-01,61.76,56.76,66.39,home_goods,bamboo cutting board
2025-06-08,58.07,53.47,62.75,home_goods,bamboo cutting board
2025-06-15,59.23,54.84,64.32,home_goods,bamboo cutting board
2025-06-22,56.93,51.96,61.51,home_goods,bamboo cutting board
2025-06-29,49.0,43.81,54.28,home_goods,bamboo cutting board
2025-07-06,50.31,45.98,55.05,home_goods,bamboo cutting board
2025-07-13,44.88,40.14,49.61,home_goods,bamboo cutting board
2025-07-20,39.99,35.11,44.94,home_goods,bamboo cutting board
2025-07-27,44.13,39.18,48.84,home_goods,bamboo cutting board
2025-08-03,39.97,35.22,45.07,home_goods,bamboo cutting board
2025-08-10,40.63,35.87,45.12,home_goods,bamboo cutting board
2025-08-17,42.9,38.05,47.82,home_goods,bamboo cutting board
2025-08-24,37.6,32.46,42.37,home_goods,bamboo cutting board
2025-08-31,38.66,33.49,43.78,home_goods,bamboo cutting board
2025-09-07,35.42,30.75,40.41,home_goods,bamboo cutting board
2025-09-14,30.78,26.3,35.65,home_goods,bamboo cutting board
2025-09-21,34.96,30.33,40.22,home_goods,bamboo cutting board
2025-09-28,36.0,31.66,40.92,home_goods,bamboo cutting board
2025-10-05,36.29,31.7,41.06,home_goods,bamboo cutting board
2025-10-12,36.27,31.43,41.18,home_goods,bamboo cutting board
2025-10-19,35.12,30.21,40.03,home_goods,bamboo cutting board
2025-10-26,37.95,33.11,42.49,home_goods,bamboo cutting board
2025-11-02,41.73,36.95,46.9,home_goods,bamboo cutting board
2025-11-09,44.66,39.49,49.52,home_goods,bamboo cutting board
2025-11-16,42.62,37.67,47.85,home_goods,bamboo cutting board
2025-11-23,43.65,38.86,48.73,home_goods,bamboo cutting board
2025-11-30,49.78,44.85,54.43,home_goods,bamboo cutting board
2025-12-07,49.58,44.68,54.24,home_goods,bamboo cutting board
2025-12-14,53.72,48.72,58.26,home_goods,bamboo cutting board
2025-12-21,56.31,51.53,60.99,home_goods,bamboo cutting board
2025-12-28,53.14,48.18,57.98,home_goods,bamboo cutting board
2026-01-04,60.49,55.53,65.16,home_goods,bamboo cutting board
2026-01-11,62.5,57.51,67.34,home_goods,bamboo cutting board
2026-01-18,61.47,56.56,66.35,home_goods,bamboo cutting board
2026-01-25,67.54,62.63,72.23,home_goods,bamboo cutting board
2026-02-01,63.82,59.05,68.77,home_goods,bamboo cutting board
2026-02-08,64.07,59.17,69.27,home_goods,bamboo cutting board
