ds,yhat,yhat_lower,yhat_upper,category,keyword
2024-02-25,45.05,40.03,49.6,sports,yoga mat
2024-03-03,48.25,43.32,53.12,sports,yoga mat
2024-03-10,50.6,45.83,55.46,sports,yoga mat
2024-03-17,53.11,48.45,58.14,sports,yoga mat
2024-03-24,53.81,48.94,58.78,sports,yoga mat
2024-03-31,59.44,54.3,64.12,sports,yoga mat
2024-04-07,60.35,55.62,65.14,sports,yoga mat
2024-04-14,58.33,53.48,63.14,sports,yoga mat
2024-04-21,60.69,55.65,65.63,sports,yoga mat
2024-04-28,58.99,54.18,63.85,sports,yoga mat
2024-05-05,61.23,56.23,65.98,sports,yoga mat
2024-05-12,65.07,60.07,69.74,sports,yoga mat
2024-05-19,63.66,59.22,68.36,sports,yoga mat
2024-05-26,65.72,60.38,70.43,sports,yoga mat
2024-06-02,65.38,60.49,69.85,sports,yoga mat
2024-06-09,63.03,57.79,67.39,sports,yoga mat
2024-06-16,61.44,56.64,66.65,sports,yoga mat
2024-06-23,59.24,54.81,64.0,sports,yoga mat
2024-06-30,63.33,58.18,68.12,sports,yoga mat
2024-07-07,63.62,58.73,68.56,sports,yoga mat
2024-07-14,60.01,55.3,64.71,sports,yoga mat
2024-07-21,59.91,55.0,64.8,sports,yoga mat
2024-07-28,55.0,50.09,60.17,sports,yoga mat
2024-08-04,53.31,48.47,58.69,sports,yoga mat
2024-08-11,53.83,48.72,57.98,sports,yoga mat
2024-08-18,49.34,44.48,54.22,sports,yoga mat
2024-08-25,48.73,43.83,53.43,sports,yoga mat
2024-09-01,46.62,41.68,51.15,sports,yoga mat
2024-09-08,42.7,37.59,47.1,sports,yoga mat
2024-09-15,39.75,34.77,44.49,sports,yoga mat
2024-09-22,35.7,31.34,40.52,sports,yoga mat
2024-09-29,37.66,32.71,42.25,sports,yoga mat
2024-10-06,36.77,32.21,41.81,sports,yoga mat
2024-10-13,32.98,28.33,37.85,sports,yoga mat
2024-10-20,34.52,29.63,39.37,sports,yoga mat
2024-10-27,32.23,27.54,36.85,sports,yoga mat
2024-11-03,32.27,27.34,37.29,sports,yoga mat
2024-11-10,33.72,28.98,38.85,sports,yoga mat
2024-11-17,29.35,24.52,34.12,sports,yoga mat
2024-11-24,29.43,24.65,34.36,sports,yoga mat
2024-12-01,30.11,25.13,34.77,sports,yoga mat
2024-12-08,30.32,25.4,35.17,sports,yoga mat
2024-12-15,32.05,27.08,36.92,sports,yoga mat
2024-12-22,31.83,27.16,36.47,sports,yoga mat
2024-12-29,36.65,32.07,41.52,sports,yoga mat
2025-01-05,38.58,33.85,43.66,sports,yoga mat
2025-01-12,37.08,32.42,42.01,sports,yoga mat
2025-01-19,40.91,35.86,45.68,sports,yoga mat
2025-01-26,40.89,35.89,45.94,sports,yoga mat
2025-02-02,42.78,37.85,47.85,sports,yoga mat
2025-02-09,46.94,42.09,51.96,sports,yoga mat
2025-02-16,45.79,41.22,50.73,sports,yoga mat
2025-02-23,49.13,44.22,53.76,sports,yoga mat
2025-03-02,52.87,48.02,57.65,sports,yoga mat
2025-03-09,54.94,50.16,59.78,sports,yoga mat
2025-03-16,57.84,53.02,62.74,sports,yoga mat
2025-03-23,58.28,53.59,63.33,sports,yoga mat
2025-03-30,63.44,58.51,68.18,sports,yoga mat
2025-04-06,65.63,61.02,70.58,sports,yoga mat
2025-04-13,63.12,58.8,67.85,sports,yoga mat
2025-04-20,65.39,60.78,70.41,sports,yoga mat
2025-04-27,64.17,59.52,69.26,sports,yoga mat
2025-05-04,65.28,60.01,70.09,sports,yoga mat
2025-05-11,69.78,64.76,74.34,sports,yoga mat
2025-05-18,68.59,63.44,73.08,sports,yoga mat
2025-05-25,70.19,65.22,75.45,sports,yoga mat
2025-06-01,70.67,65.49,75.75,sports,yoga mat
2025-06-08,68.12,63.18,73.06,sports,yoga mat
2025-06-15,66.72,61.7,71.82,sports,yoga mat
2025-06-22,64.06,58.87,68.76,sports,yoga mat
2025-06-29,67.42,62.68,72.24,sports,yoga mat
2025-07-06,68.97,64.49,73.61,sports,yoga mat
2025-07-13,65.08,60.15,70.01,sports,yoga mat
2025-07-20,65.01,59.98,69.69,sports,yoga mat
2025-07-27,60.75,55.93,65.7,sports,yoga mat
2025-08-03,57.95,53.06,62.72,sports,yoga mat
2025-08-10,59.01,54.55,63.56,sports,yoga mat
2025-08-17,54.73,49.81,59.66,sports,yoga mat
2025-08-24,53.52,48.84,57.96,sports,yoga mat
2025-08-31,52.13,47.17,56.79,sports,yoga mat
2025-09-07,47.99,43.1,52.56,sports,yoga mat
2025-09-14,45.22,40.68,49.91,sports,yoga mat
2025-09-21,40.83,35.76,46.13,sports,yoga mat
2025-09-28,42.01,37.1,46.68,sports,yoga mat
2025-10-05,42.2,37.32,46.92,sports,yoga mat
2025-10-12,37.91,33.09,42.62,sports,yoga mat
2025-10-19,39.13,34.29,43.72,sports,yoga mat
2025-10-26,37.49,32.59,42.52,sports,yoga mat
2025-11-02,36.62,32.02,41.29,sports,yoga mat
2025-11-09,38.76,33.87,43.59,sports,yoga mat
2025-11-16,34.69,30.05,39.57,sports,yoga mat
2025-11-23,33.9,28.97,38.64,sports,yoga mat
2025-11-30,34.95,29.61,40.19,sports,yoga mat
2025-12-07,34.76,29.72,39.68,sports,yoga mat
2025-12-14,36.66,31.65,41.74,sports,yoga mat
2025-12-21,36.34,31.23,41.44,sports,yoga mat
2025-12-28,40.47,35.47,45.47,sports,yoga mat
2026-01-04,43.51,38.79,48.68,sports,yoga mat
2026-01-11,41.59,36.64,46.37,sports,yoga mat
2026-01-18,45.06,40.66,50.07,sports,yoga mat
2026-01-25,45.77,40.82,50.74,sports,yoga mat
2026-02-01,46.73,41.58,51.05,sports,yoga mat
2026-02-08,51.4,46.67,56.37,sports,yoga mat
2026-02-15,50.54,45.63,55.3,sports,yoga mat
2026-02-16,50.44,45.8,55.46,sports,yoga mat
2026-02-17,50.48,45.77,55.4,sports,yoga mat
2026-02-18,50.69,45.94,55.45,sports,yoga mat
2026-02-19,51.07,46.32,55.95,sports,yoga mat
2026-02-20,51.59,46.93,56.52,sports,yoga mat
2026-02-21,52.24,47.37,57.26,sports,yoga mat
2026-02-22,52.98,47.83,57.59,sports,yoga mat
2026-02-23,53.76,49.09,59.06,sports,yoga mat
2026-02-24,54.53,49.32,59.72,sports,yoga mat
2026-02-25,55.25,50.37,59.93,sports,yoga mat
2026-02-26,55.89,51.04,60.64,sports,yoga mat
2026-02-27,56.44,51.57,61.37,sports,yoga mat
2026-02-28,56.88,51.88,61.58,sports,yoga mat
2026-03-01,57.22,52.19,62.12,sports,yoga mat
2026-03-02,57.49,52.71,62.23,sports,yoga mat
2026-03-03,57.71,52.74,62.37,sports,yoga mat
2026-03-04,57.91,52.79,62.8,sports,yoga mat
2026-03-05,58.13,53.77,63.0,sports,yoga mat
2026-03-06,58.39,53.4,63.57,sports,yoga mat
2026-03-07,58.71,53.93,63.46,sports,yoga mat
2026-03-08,59.1,54.13,64.12,sports,yoga mat
2026-03-09,59.56,55.04,64.4,sports,yoga mat
2026-03-10,60.06,55.34,65.16,sports,yoga mat
2026-03-11,60.58,55.8,65.75,sports,yoga mat
2026-03-12,61.09,55.95,65.99,sports,yoga mat
2026-03-13,61.55,56.63,66.59,sports,yoga mat
2026-03-14,61.95,57.21,66.57,sports,yoga mat
2026-03-15,62.26,57.2,67.18,sports,yoga mat
2026-03-16,62.46,57.39,67.08,sports,yoga mat
2026-03-17,62.57,57.77,67.73,sports,yoga mat
